accession,Strain,lineage,passed
GCA_001390935.1_8898_8_40,2325D,LIN-2,TRUE
GCA_001387875.1_8898_8_48,2326E,LIN-4,TRUE
GCA_001390075.1_8898_8_56,2327F,LIN-2,TRUE
GCA_001387055.1_8898_8_64,2328G,LIN-2,TRUE
GCA_001387635.1_8898_8_72,2333M,LIN-4,TRUE
GCA_001388995.1_8898_8_80,2334N,LIN-4,TRUE
GCA_001387075.1_8898_8_88,2335P,LIN-2,TRUE
GCA_001390095.1_8898_8_96,2336Q,LIN-4,TRUE
GCA_001390035.1_8939_3_1,2337R,LIN-2,TRUE
GCA_001388055.1_8939_3_9,2338S,LIN-2,TRUE
GCA_001390695.1_8939_3_25,2340V,LIN-2,TRUE
GCA_001387815.1_8939_3_33,2341W,LIN-2,TRUE
GCA_001390215.1_8939_3_41,2342X,LIN-2,TRUE
GCA_001390675.1_8939_3_49,2343Y,LIN-4,TRUE
GCA_001388875.1_8939_3_57,2344Z,LIN-2,TRUE
GCA_001325065.1_8939_3_65,2345A,LIN-4,TRUE
GCA_001325425.1_8939_3_73,2347C,LIN-4,TRUE
GCA_001388795.1_8939_3_81,2348D,LIN-2,TRUE
GCA_001390575.1_8939_3_89,2349E,LIN-4,TRUE
GCA_001389895.1_8939_3_2,2351G,LIN-2,TRUE
GCA_001388175.1_8939_3_10,2352H,LIN-2,TRUE
GCA_001391135.1_8939_3_18,2353J,LIN-4,TRUE
GCA_001325945.1_8939_3_26,2356M,LIN-2,TRUE
GCA_001387775.1_8939_3_34,2357N,LIN-4,TRUE
GCA_001325725.1_8939_3_42,2358P,LIN-4,TRUE
GCA_001390815.1_8939_3_50,2360R,LIN-2,TRUE
GCA_001325285.1_8939_3_58,2361S,LIN-4,TRUE
GCA_001389135.1_8939_3_74,2363V,LIN-4,TRUE
GCA_001390395.1_8939_3_90,2365X,LIN-2,TRUE
GCA_001389815.1_8939_3_3,2366Y,LIN-4,TRUE
GCA_001388235.1_8939_3_11,2367Z,LIN-4,TRUE
GCA_001391195.1_8939_3_19,2369B,LIN-2,TRUE
GCA_001389375.1_8939_3_27,2370C,LIN-4,TRUE
GCA_001325025.1_8939_3_35,2371D,LIN-2,TRUE
GCA_001389775.1_8939_3_43,2372E,LIN-2,TRUE
GCA_001390275.1_8939_3_51,2373F,LIN-2,TRUE
GCA_001388715.1_8939_3_59,2376J,LIN-4,TRUE
GCA_001326115.1_8939_3_67,2378L,LIN-4,TRUE
GCA_001389575.1_8939_3_75,2379M,LIN-4,TRUE
GCA_001388855.1_8939_3_83,2381P,LIN-2,TRUE
GCA_001390475.1_8939_3_91,2382Q,LIN-2,TRUE
GCA_001325185.1_8939_3_12,2386V,LIN-2,TRUE
GCA_001390375.1_8939_3_20,2388X,LIN-4,TRUE
GCA_001388095.1_8939_3_28,2390Z,LIN-4,TRUE
GCA_001387855.1_8939_3_36,2391A,LIN-4,TRUE
GCA_001389855.1_8939_3_44,2392B,LIN-4,TRUE
GCA_001390355.1_8939_3_52,2393C,LIN-2,TRUE
GCA_001326025.1_8939_3_68,2395E,LIN-2,TRUE
GCA_001389515.1_8939_3_76,2396F,LIN-4,TRUE
GCA_001388935.1_8939_3_84,2403N,LIN-2,TRUE
GCA_001325745.1_8939_3_92,2405Q,LIN-2,TRUE
GCA_001324825.1_8939_3_13,2411X,LIN-4,TRUE
GCA_001325785.1_8939_3_21,2414A,LIN-2,TRUE
GCA_001387935.1_8939_3_29,2433W,LIN-4,TRUE
GCA_001389675.1_8939_3_45,2438B,LIN-4,TRUE
GCA_001390435.1_8939_3_53,2440D,LIN-4,TRUE
GCA_001388555.1_8939_3_61,2441E,LIN-2,TRUE
GCA_001391155.1_8939_3_69,2462C,LIN-4,TRUE
GCA_001388335.1_8939_3_77,2466G,LIN-4,TRUE
GCA_001388975.1_8939_3_85,2467H,LIN-2,TRUE
GCA_001390315.1_8939_3_93,2472N,LIN-2,TRUE
GCA_001389555.1_8939_3_6,2473P,LIN-2,TRUE
GCA_001387195.1_8939_3_14,2478V,LIN-4,TRUE
GCA_001325825.1_8939_3_22,2481Y,LIN-2,TRUE
GCA_000658475.1_Myco_tube_2482AR_V1,2482AR,LIN-4,TRUE
GCA_001388375.1_8939_3_30,2482Z,LIN-4,TRUE
GCA_000658455.1_Myco_tube_2483AR_V1,2483AR,LIN-4,TRUE
GCA_000649215.1_Myco_tube_2484AR_V1,2484AR,LIN-4,TRUE
GCA_001390055.1_8939_3_46,2484B,LIN-2,TRUE
GCA_000658435.1_Myco_tube_2485AR_V1,2485AR,LIN-4,TRUE
GCA_001390495.1_8939_3_54,2485C,LIN-2,TRUE
GCA_001388595.1_8939_3_62,2486D,LIN-2,TRUE
GCA_001325485.1_8939_3_70,2487E,LIN-2,TRUE
GCA_001388535.1_8939_3_78,2488F,LIN-2,TRUE
GCA_001325385.1_8939_3_86,2489F,LIN-2,TRUE
GCA_001325765.1_8939_3_94,2490H,LIN-2,TRUE
GCA_001387895.1_8939_3_7,2491J,LIN-2,TRUE
GCA_001387415.1_8939_3_15,2492K,LIN-2,TRUE
GCA_001390295.1_8939_3_23,2493L,LIN-4,TRUE
GCA_001388195.1_8939_3_31,2494M,LIN-2,TRUE
GCA_001325685.1_8939_3_39,2495N,LIN-4,TRUE
GCA_001390595.1_8939_3_47,2497Q,LIN-2,TRUE
GCA_001325805.1_8939_3_55,2498R,LIN-2,TRUE
GCA_001853525.1_ASM185352v1,24999,NONE,FALSE
GCA_001388315.1_8939_3_63,2499S,LIN-2,TRUE
GCA_001544855.1_ASM154485v1,25,LIN-6,TRUE
GCA_001325225.1_8939_3_79,2501V,LIN-2,TRUE
GCA_001390875.1_8939_3_87,2502W,LIN-4,TRUE
GCA_001387995.1_8939_3_8,2505Z,LIN-2,TRUE
GCA_001390335.1_8939_3_24,2507B,LIN-4,TRUE
GCA_001388295.1_8939_3_32,2508C,LIN-2,TRUE
GCA_001325645.1_8939_3_40,2511F,LIN-4,TRUE
GCA_001390735.1_8939_3_48,2512G,LIN-2,TRUE
GCA_001387715.1_8939_3_56,2513H,LIN-2,TRUE
GCA_001325165.1_8939_3_64,2514J,LIN-2,TRUE
GCA_001389215.1_8939_3_72,2515K,LIN-4,TRUE
GCA_001388655.1_8939_3_80,2516L,LIN-2,TRUE
GCA_001390535.1_8939_3_88,2517M,LIN-4,TRUE
GCA_001391335.1_8939_3_96,2518N,LIN-2,TRUE
GCA_001390015.1_8987_5_1,2520Q,LIN-2,TRUE
GCA_001325605.1_8987_5_2,2525W,LIN-2,TRUE
GCA_001389915.1_8987_5_3,2526X,LIN-4,TRUE
GCA_001389795.1_8987_5_4,2527Y,LIN-2,TRUE
GCA_001389655.1_8987_5_5,2528Z,LIN-2,TRUE
GCA_001388015.1_8987_5_6,2531C,LIN-2,TRUE
GCA_001325125.1_8987_5_7,2533E,LIN-2,TRUE
GCA_001388275.1_8987_5_9,2535G,LIN-2,TRUE
GCA_001388415.1_8987_5_10,2536H,LIN-2,TRUE
GCA_001386935.1_8987_5_11,2537J,LIN-2,TRUE
GCA_001386855.1_8987_5_12,2538K,LIN-2,TRUE
GCA_001386895.1_8987_5_13,2539L,LIN-2,TRUE
GCA_001387515.1_8987_5_14,2540P,LIN-4,TRUE
GCA_000649455.1_Myco_tube_2541MS_V1,2541MS,LIN-4,TRUE
GCA_000705785.1_Myco_tube_2542MS_V1,2542MS,LIN-4,TRUE
GCA_000649435.1_Myco_tube_2543MS_V1,2543MS,LIN-4,TRUE
GCA_001387475.1_8987_5_15,2549X,LIN-2,TRUE
GCA_001387655.1_8987_5_16,2559H,LIN-4,TRUE
GCA_001324945.1_8987_5_17,2564N,LIN-2,TRUE
GCA_001387235.1_8987_5_18,2565P,LIN-4,TRUE
GCA_001387155.1_8987_5_20,2567R,LIN-2,TRUE
GCA_001389975.1_8987_5_21,2568S,LIN-2,TRUE
GCA_001389715.1_8987_5_23,2570V,LIN-4,TRUE
GCA_001325005.1_8987_5_32,2581G,LIN-2,TRUE
GCA_001388075.1_8987_5_33,2585L,LIN-4,TRUE
GCA_001387975.1_8987_5_34,2586M,LIN-4,TRUE
GCA_001325085.1_8987_5_35,2589Q,LIN-4,TRUE
GCA_001388395.1_8987_5_36,2591S,LIN-4,TRUE
GCA_001387175.1_8987_5_38,2593V,LIN-4,TRUE
GCA_001324845.1_8987_5_39,2594W,LIN-2,TRUE
GCA_001324885.1_8987_5_40,2597Z,LIN-4,TRUE
GCA_001544735.1_ASM154473v1,26,LIN-B,TRUE
GCA_001390255.1_8987_5_41,2601D,LIN-2,TRUE
GCF_001545055.1_ASM154505v1,26105,LIN-3,TRUE
GCA_001390455.1_8987_5_42,2625E,LIN-4,TRUE
GCA_001390415.1_8987_5_43,2626F,LIN-4,TRUE
GCA_001390635.1_8987_5_44,2631L,LIN-3,TRUE
GCA_001390555.1_8987_5_45,2634P,LIN-4,TRUE
GCA_001390835.1_8987_5_46,2636R,LIN-4,TRUE
GCA_001390795.1_8987_5_47,2639V,LIN-2,TRUE
GCA_001390715.1_8987_5_48,2642Y,LIN-4,TRUE
GCA_001942625.1_ASM194262v1,27335,NONE,FALSE
GCA_900107555.1_IMG-taxon_2636416058_annotated_assembly,283MFTsu,NONE,FALSE
GCA_900120545.1_14722_6_1,2926STDY5723422,LIN-4,TRUE
GCA_900121525.1_14722_7_29,2926STDY5723423,LIN-4,TRUE
GCA_900121515.1_14722_7_30,2926STDY5723424,LIN-4,TRUE
GCA_900121555.1_14722_7_31,2926STDY5723425,LIN-4,TRUE
GCA_900120805.1_14722_6_2,2926STDY5723426,LIN-4,TRUE
GCA_900121565.1_14722_7_32,2926STDY5723427,LIN-4,TRUE
GCA_900121585.1_14722_7_33,2926STDY5723428,LIN-4,TRUE
GCA_900121575.1_14722_7_34,2926STDY5723429,LIN-4,TRUE
GCA_900121595.1_14722_7_35,2926STDY5723430,LIN-4,TRUE
GCA_900120735.1_14722_6_3,2926STDY5723431,LIN-4,TRUE
GCA_900121605.1_14722_7_36,2926STDY5723432,LIN-4,TRUE
GCA_900120665.1_14722_6_4,2926STDY5723433,LIN-4,TRUE
GCA_900121615.1_14722_7_37,2926STDY5723434,LIN-4,TRUE
GCA_900121625.1_14722_7_38,2926STDY5723435,LIN-4,TRUE
GCA_900120585.1_14722_6_5,2926STDY5723436,LIN-4,TRUE
GCA_900121635.1_14722_7_39,2926STDY5723437,LIN-2,TRUE
GCA_900120945.1_14722_6_6,2926STDY5723438,LIN-4,TRUE
GCA_900121045.1_14722_6_7,2926STDY5723439,LIN-4,TRUE
GCA_900121165.1_14722_6_8,2926STDY5723440,LIN-4,TRUE
GCA_900121655.1_14722_7_40,2926STDY5723441,LIN-4,TRUE
GCA_900121665.1_14722_7_41,2926STDY5723442,LIN-4,TRUE
GCA_900121675.1_14722_7_42,2926STDY5723443,LIN-4,TRUE
GCA_900121685.1_14722_7_43,2926STDY5723444,LIN-4,TRUE
GCA_900121695.1_14722_7_44,2926STDY5723445,LIN-4,TRUE
GCA_900121705.1_14722_7_45,2926STDY5723446,LIN-4,TRUE
GCA_900127485.1_14722_7_46,2926STDY5723447,LIN-4,TRUE
GCA_900121715.1_14722_7_47,2926STDY5723448,LIN-4,TRUE
GCA_900121275.1_14722_6_9,2926STDY5723449,LIN-4,TRUE
GCA_900120815.1_14722_6_10,2926STDY5723450,LIN-4,TRUE
GCA_900121725.1_14722_7_48,2926STDY5723451,LIN-4,TRUE
GCA_900121735.1_14722_7_49,2926STDY5723452,LIN-4,TRUE
GCA_900120635.1_14722_6_11,2926STDY5723453,LIN-2,TRUE
GCA_900120465.1_14722_6_12,2926STDY5723454,LIN-2,TRUE
GCA_900120655.1_14722_6_13,2926STDY5723455,LIN-4,TRUE
GCA_900120475.1_14722_6_14,2926STDY5723456,LIN-4,TRUE
GCA_900121745.1_14722_7_50,2926STDY5723457,LIN-4,TRUE
GCA_900120595.1_14722_6_15,2926STDY5723458,LIN-4,TRUE
GCA_900121765.1_14722_7_51,2926STDY5723459,LIN-4,TRUE
GCA_900120555.1_14722_6_16,2926STDY5723460,LIN-4,TRUE
GCA_900120825.1_14722_6_17,2926STDY5723461,LIN-4,TRUE
GCA_900121775.1_14722_7_52,2926STDY5723462,LIN-4,TRUE
GCA_900121785.1_14722_7_53,2926STDY5723463,LIN-4,TRUE
GCA_900121795.1_14722_7_54,2926STDY5723464,LIN-4,TRUE
GCA_900121805.1_14722_7_55,2926STDY5723465,LIN-4,TRUE
GCA_900121815.1_14722_7_56,2926STDY5723466,LIN-4,TRUE
GCA_900121825.1_14722_7_57,2926STDY5723467,LIN-4,TRUE
GCA_900121835.1_14722_7_58,2926STDY5723468,LIN-4,TRUE
GCA_900121845.1_14722_7_59,2926STDY5723469,LIN-4,TRUE
GCA_900121855.1_14722_7_60,2926STDY5723470,LIN-4,TRUE
GCA_900121865.1_14722_7_61,2926STDY5723471,LIN-4,TRUE
GCA_900121875.1_14722_7_62,2926STDY5723472,LIN-2,TRUE
GCA_900120515.1_14722_6_18,2926STDY5723473,LIN-4,TRUE
GCA_900127265.1_14722_7_63,2926STDY5723474,LIN-4,TRUE
GCA_900120485.1_14722_6_19,2926STDY5723475,LIN-4,TRUE
GCA_900120835.1_14722_6_20,2926STDY5723476,LIN-B,TRUE
GCA_900121885.1_14722_7_64,2926STDY5723477,LIN-4,TRUE
GCA_900120715.1_14722_6_21,2926STDY5723478,LIN-4,TRUE
GCA_900121895.1_14722_7_65,2926STDY5723479,LIN-4,TRUE
GCA_900120685.1_14722_6_22,2926STDY5723480,LIN-B,TRUE
GCA_900121905.1_14722_7_66,2926STDY5723481,LIN-4,TRUE
GCA_900121915.1_14722_7_67,2926STDY5723482,LIN-4,TRUE
GCA_900121925.1_14722_7_68,2926STDY5723483,LIN-4,TRUE
GCA_900127305.1_14722_7_69,2926STDY5723484,LIN-4,TRUE
GCA_900120435.1_14722_6_23,2926STDY5723485,LIN-4,TRUE
GCA_900121945.1_14722_7_70,2926STDY5723486,LIN-4,TRUE
GCA_900121955.1_14722_7_71,2926STDY5723487,LIN-4,TRUE
GCA_900121965.1_14722_7_72,2926STDY5723488,LIN-4,TRUE
GCA_900120425.1_14722_6_24,2926STDY5723489,LIN-4,TRUE
GCA_900121975.1_14722_7_73,2926STDY5723490,LIN-4,TRUE
GCA_900121985.1_14722_7_74,2926STDY5723491,LIN-4,TRUE
GCA_900121995.1_14722_7_75,2926STDY5723492,LIN-4,TRUE
GCA_900122005.1_14722_7_76,2926STDY5723493,LIN-4,TRUE
GCA_900120455.1_14722_6_25,2926STDY5723494,LIN-4,TRUE
GCA_900122015.1_14722_7_77,2926STDY5723495,LIN-4,TRUE
GCA_900122025.1_14722_7_78,2926STDY5723496,LIN-2,TRUE
GCA_900127245.1_14722_6_26,2926STDY5723497,LIN-4,TRUE
GCA_900122035.1_14722_7_79,2926STDY5723498,LIN-4,TRUE
GCA_900122055.1_14722_7_80,2926STDY5723499,LIN-4,TRUE
GCA_900122065.1_14722_7_81,2926STDY5723500,LIN-4,TRUE
GCA_900122075.1_14722_7_82,2926STDY5723501,LIN-4,TRUE
GCA_900127545.1_14722_7_83,2926STDY5723502,LIN-4,TRUE
GCA_900127325.1_14722_7_84,2926STDY5723503,LIN-4,TRUE
GCA_900122085.1_14722_7_85,2926STDY5723504,LIN-4,TRUE
GCA_900122095.1_14722_7_86,2926STDY5723505,LIN-4,TRUE
GCA_900122105.1_14722_7_87,2926STDY5723506,LIN-4,TRUE
GCA_900122115.1_14722_7_88,2926STDY5723507,LIN-4,TRUE
GCA_900120625.1_14722_6_27,2926STDY5723508,LIN-2,TRUE
GCA_900122125.1_14722_7_89,2926STDY5723509,LIN-4,TRUE
GCA_900122145.1_14722_7_90,2926STDY5723510,LIN-4,TRUE
GCA_900120565.1_14722_6_28,2926STDY5723511,LIN-4,TRUE
GCA_900120615.1_14722_6_29,2926STDY5723512,LIN-2,TRUE
GCA_900122155.1_14722_7_91,2926STDY5723513,LIN-4,TRUE
GCA_900122165.1_14722_7_92,2926STDY5723514,LIN-4,TRUE
GCA_900122175.1_14722_7_93,2926STDY5723515,LIN-4,TRUE
GCA_900122185.1_14722_7_94,2926STDY5723516,LIN-4,TRUE
GCA_900120795.1_14722_6_30,2926STDY5723518,LIN-4,TRUE
GCA_900120705.1_14722_6_31,2926STDY5723519,LIN-4,TRUE
GCA_900120695.1_14722_6_32,2926STDY5723520,LIN-4,TRUE
GCA_900120755.1_14722_6_33,2926STDY5723521,LIN-4,TRUE
GCA_900120505.1_14722_6_34,2926STDY5723522,LIN-4,TRUE
GCA_900120675.1_14722_6_35,2926STDY5723523,LIN-4,TRUE
GCA_900122195.1_14722_7_95,2926STDY5723524,LIN-4,TRUE
GCA_900123035.1_14892_2_1,2926STDY5723525,LIN-4,TRUE
GCA_900120605.1_14722_6_36,2926STDY5723526,LIN-2,TRUE
GCA_900120525.1_14722_6_37,2926STDY5723527,LIN-4,TRUE
GCA_900120535.1_14722_6_38,2926STDY5723528,LIN-4,TRUE
GCA_900120855.1_14722_6_39,2926STDY5723529,LIN-4,TRUE
GCA_900120445.1_14722_6_40,2926STDY5723530,LIN-4,TRUE
GCA_900123125.1_14892_2_2,2926STDY5723531,LIN-2,TRUE
GCA_900120845.1_14722_6_41,2926STDY5723532,LIN-2,TRUE
GCA_900123285.1_14892_2_4,2926STDY5723534,LIN-4,TRUE
GCA_900120495.1_14722_6_42,2926STDY5723535,LIN-4,TRUE
GCA_900120725.1_14722_6_43,2926STDY5723536,LIN-4,TRUE
GCA_900123365.1_14892_2_5,2926STDY5723537,LIN-2,TRUE
GCA_900123535.1_14892_2_7,2926STDY5723539,LIN-4,TRUE
GCA_900123635.1_14892_2_8,2926STDY5723540,LIN-4,TRUE
GCA_900120575.1_14722_6_44,2926STDY5723541,LIN-4,TRUE
GCA_900123715.1_14892_2_9,2926STDY5723542,LIN-4,TRUE
GCA_900123055.1_14892_2_10,2926STDY5723543,LIN-4,TRUE
GCA_900123075.1_14892_2_11,2926STDY5723544,LIN-4,TRUE
GCA_900120645.1_14722_6_45,2926STDY5723545,LIN-4,TRUE
GCA_900120775.1_14722_6_46,2926STDY5723546,LIN-2,TRUE
GCA_900120785.1_14722_6_47,2926STDY5723547,LIN-4,TRUE
GCA_900120765.1_14722_6_48,2926STDY5723548,LIN-B,TRUE
GCA_900120745.1_14722_6_49,2926STDY5723549,LIN-4,TRUE
GCA_900120865.1_14722_6_50,2926STDY5723550,LIN-4,TRUE
GCA_900123065.1_14892_2_12,2926STDY5723551,LIN-2,TRUE
GCA_900127585.1_14722_6_51,2926STDY5723553,LIN-4,TRUE
GCA_900120875.1_14722_6_52,2926STDY5723554,LIN-4,TRUE
GCA_900124595.1_15277_3_50,2926STDY5723555,LIN-4,TRUE
GCA_900123085.1_14892_2_15,2926STDY5723556,LIN-4,TRUE
GCA_900120895.1_14722_6_53,2926STDY5723557,LIN-4,TRUE
GCA_900123095.1_14892_2_16,2926STDY5723558,LIN-4,TRUE
GCA_900123105.1_14892_2_17,2926STDY5723559,LIN-4,TRUE
GCA_900123115.1_14892_2_18,2926STDY5723560,LIN-4,TRUE
GCA_900124605.1_15277_3_51,2926STDY5723561,LIN-4,TRUE
GCA_900123135.1_14892_2_20,2926STDY5723562,LIN-4,TRUE
GCA_900120885.1_14722_6_54,2926STDY5723563,LIN-4,TRUE
GCA_900120905.1_14722_6_55,2926STDY5723564,LIN-4,TRUE
GCA_900123145.1_14892_2_21,2926STDY5723565,LIN-4,TRUE
GCA_900123155.1_14892_2_22,2926STDY5723566,LIN-4,TRUE
GCA_900127225.1_14722_6_56,2926STDY5723567,LIN-4,TRUE
GCA_900120935.1_14722_6_57,2926STDY5723568,LIN-4,TRUE
GCA_900127515.1_14892_2_23,2926STDY5723569,LIN-4,TRUE
GCA_900120915.1_14722_6_58,2926STDY5723570,LIN-4,TRUE
GCA_900120925.1_14722_6_59,2926STDY5723571,LIN-4,TRUE
GCA_900124615.1_15277_3_52,2926STDY5723572,LIN-4,TRUE
GCA_900123165.1_14892_2_25,2926STDY5723573,LIN-4,TRUE
GCA_900120955.1_14722_6_60,2926STDY5723574,LIN-4,TRUE
GCA_900120965.1_14722_6_61,2926STDY5723575,LIN-4,TRUE
GCA_900123175.1_14892_2_26,2926STDY5723576,LIN-4,TRUE
GCA_900123185.1_14892_2_27,2926STDY5723577,LIN-4,TRUE
GCA_900120975.1_14722_6_62,2926STDY5723578,LIN-4,TRUE
GCA_900123205.1_14892_2_28,2926STDY5723579,LIN-4,TRUE
GCA_900127435.1_14892_2_29,2926STDY5723580,LIN-4,TRUE
GCA_900123195.1_14892_2_30,2926STDY5723581,LIN-4,TRUE
GCA_900123215.1_14892_2_31,2926STDY5723582,LIN-4,TRUE
GCA_900123225.1_14892_2_32,2926STDY5723583,LIN-4,TRUE
GCA_900120985.1_14722_6_63,2926STDY5723584,LIN-4,TRUE
GCA_900120995.1_14722_6_64,2926STDY5723585,LIN-4,TRUE
GCA_900121025.1_14722_6_66,2926STDY5723587,LIN-4,TRUE
GCA_900123235.1_14892_2_33,2926STDY5723588,LIN-4,TRUE
GCA_900121035.1_14722_6_67,2926STDY5723589,LIN-4,TRUE
GCA_900123245.1_14892_2_34,2926STDY5723590,LIN-4,TRUE
GCA_900123255.1_14892_2_35,2926STDY5723591,LIN-4,TRUE
GCA_900121005.1_14722_6_68,2926STDY5723592,LIN-4,TRUE
GCA_900121105.1_14722_6_69,2926STDY5723593,LIN-4,TRUE
GCA_900121085.1_14722_6_70,2926STDY5723594,LIN-2,TRUE
GCA_900121055.1_14722_6_71,2926STDY5723595,LIN-4,TRUE
GCA_900121095.1_14722_6_72,2926STDY5723596,LIN-4,TRUE
GCA_900121065.1_14722_6_73,2926STDY5723597,LIN-4,TRUE
GCA_900123265.1_14892_2_36,2926STDY5723598,LIN-4,TRUE
GCA_900123275.1_14892_2_37,2926STDY5723599,LIN-4,TRUE
GCA_900121075.1_14722_6_74,2926STDY5723600,LIN-4,TRUE
GCA_900124625.1_15277_3_53,2926STDY5723601,LIN-4,TRUE
GCA_900121115.1_14722_6_75,2926STDY5723602,LIN-4,TRUE
GCA_900121125.1_14722_6_76,2926STDY5723603,LIN-4,TRUE
GCA_900121145.1_14722_6_77,2926STDY5723604,LIN-4,TRUE
GCA_900121135.1_14722_6_78,2926STDY5723605,LIN-4,TRUE
GCA_900127185.1_14892_2_39,2926STDY5723606,LIN-4,TRUE
GCA_900121155.1_14722_6_79,2926STDY5723607,LIN-4,TRUE
GCA_900121175.1_14722_6_80,2926STDY5723608,LIN-4,TRUE
GCA_900121185.1_14722_6_81,2926STDY5723609,LIN-2,TRUE
GCA_900121195.1_14722_6_82,2926STDY5723610,LIN-4,TRUE
GCA_900121205.1_14722_6_83,2926STDY5723611,LIN-4,TRUE
GCA_900121215.1_14722_6_84,2926STDY5723612,LIN-4,TRUE
GCA_900121225.1_14722_6_85,2926STDY5723614,LIN-4,TRUE
GCA_900121235.1_14722_6_86,2926STDY5723615,LIN-4,TRUE
GCA_900123295.1_14892_2_40,2926STDY5723616,LIN-4,TRUE
GCA_900121245.1_14722_6_87,2926STDY5723617,LIN-4,TRUE
GCA_900121255.1_14722_6_88,2926STDY5723618,LIN-4,TRUE
GCA_900121265.1_14722_6_89,2926STDY5723619,LIN-4,TRUE
GCA_900121295.1_14722_6_90,2926STDY5723620,LIN-4,TRUE
GCA_900127565.1_14892_2_41,2926STDY5723621,LIN-4,TRUE
GCA_900121285.1_14722_6_91,2926STDY5723622,LIN-4,TRUE
GCA_900121305.1_14722_6_92,2926STDY5723623,LIN-4,TRUE
GCA_900121315.1_14722_6_93,2926STDY5723624,LIN-4,TRUE
GCA_900121325.1_14722_6_94,2926STDY5723625,LIN-4,TRUE
GCA_900121335.1_14722_6_95,2926STDY5723626,LIN-4,TRUE
GCA_900123785.1_14893_2_1,2926STDY5723627,LIN-4,TRUE
GCA_900123305.1_14892_2_42,2926STDY5723628,LIN-4,TRUE
GCA_900123865.1_14893_2_2,2926STDY5723629,LIN-4,TRUE
GCA_900127385.1_14893_2_3,2926STDY5723630,LIN-4,TRUE
GCA_900123315.1_14892_2_43,2926STDY5723631,LIN-4,TRUE
GCA_900124035.1_14893_2_4,2926STDY5723632,LIN-4,TRUE
GCA_900124135.1_14893_2_5,2926STDY5723633,LIN-1,TRUE
GCA_900124245.1_14893_2_6,2926STDY5723634,LIN-4,TRUE
GCA_900124345.1_14893_2_7,2926STDY5723635,LIN-4,TRUE
GCA_900124435.1_14893_2_8,2926STDY5723636,LIN-4,TRUE
GCA_900124545.1_14893_2_9,2926STDY5723637,LIN-4,TRUE
GCA_900123325.1_14892_2_44,2926STDY5723638,LIN-4,TRUE
GCA_900127165.1_14893_2_10,2926STDY5723639,LIN-4,TRUE
GCA_900123795.1_14893_2_11,2926STDY5723640,LIN-4,TRUE
GCA_900127345.1_14893_2_12,2926STDY5723641,LIN-4,TRUE
GCA_900123805.1_14893_2_13,2926STDY5723642,LIN-4,TRUE
GCA_900123815.1_14893_2_14,2926STDY5723643,LIN-4,TRUE
GCA_900123335.1_14892_2_45,2926STDY5723644,LIN-4,TRUE
GCA_900127175.1_14893_2_15,2926STDY5723645,LIN-4,TRUE
GCA_900123825.1_14893_2_16,2926STDY5723646,LIN-4,TRUE
GCA_900123835.1_14893_2_17,2926STDY5723647,LIN-4,TRUE
GCA_900127135.1_14892_2_46,2926STDY5723648,LIN-4,TRUE
GCA_900123845.1_14893_2_18,2926STDY5723649,LIN-4,TRUE
GCA_900123855.1_14893_2_19,2926STDY5723650,LIN-4,TRUE
GCA_900123885.1_14893_2_20,2926STDY5723651,LIN-4,TRUE
GCA_900127355.1_14893_2_21,2926STDY5723652,LIN-4,TRUE
GCA_900123875.1_14893_2_22,2926STDY5723653,LIN-4,TRUE
GCA_900127215.1_14893_2_23,2926STDY5723654,LIN-4,TRUE
GCA_900127275.1_14893_2_24,2926STDY5723656,LIN-4,TRUE
GCA_900123895.1_14893_2_25,2926STDY5723657,LIN-4,TRUE
GCA_900123345.1_14892_2_48,2926STDY5723658,LIN-4,TRUE
GCA_900123905.1_14893_2_26,2926STDY5723659,LIN-4,TRUE
GCA_900123915.1_14893_2_27,2926STDY5723660,LIN-4,TRUE
GCA_900123925.1_14893_2_28,2926STDY5723661,LIN-4,TRUE
GCA_900127495.1_14893_2_29,2926STDY5723662,LIN-4,TRUE
GCA_900123355.1_14892_2_49,2926STDY5723663,LIN-4,TRUE
GCA_900123935.1_14893_2_30,2926STDY5723664,LIN-4,TRUE
GCA_900123945.1_14893_2_31,2926STDY5723665,LIN-B,TRUE
GCA_900123955.1_14893_2_32,2926STDY5723666,LIN-4,TRUE
GCA_900123965.1_14893_2_33,2926STDY5723667,LIN-4,TRUE
GCA_900123975.1_14893_2_34,2926STDY5723668,LIN-4,TRUE
GCA_900123375.1_14892_2_50,2926STDY5723669,LIN-4,TRUE
GCA_900123985.1_14893_2_35,2926STDY5723670,LIN-4,TRUE
GCA_900123385.1_14892_2_51,2926STDY5723671,LIN-4,TRUE
GCA_900123395.1_14892_2_52,2926STDY5723672,LIN-4,TRUE
GCA_900123995.1_14893_2_36,2926STDY5723673,LIN-4,TRUE
GCA_900124005.1_14893_2_37,2926STDY5723674,LIN-4,TRUE
GCA_900124015.1_14893_2_38,2926STDY5723675,LIN-4,TRUE
GCA_900124025.1_14893_2_39,2926STDY5723676,LIN-4,TRUE
GCA_900124045.1_14893_2_40,2926STDY5723677,LIN-4,TRUE
GCA_900123405.1_14892_2_53,2926STDY5723678,LIN-4,TRUE
GCA_900124055.1_14893_2_41,2926STDY5723679,LIN-4,TRUE
GCA_900127335.1_14893_2_42,2926STDY5723680,LIN-4,TRUE
