1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
G722852A,,,,T2531081A,,G3142852T,C1640244T,,C4123325T,G3771585A,,C3597249G,G1325886T,C3200282T,,,,A1377568G,,,,C2906135T,,C4384417T,,,C2352142T,C4292305T,,,,G3665314A,A1897489C,C3455759T,G2300664A,,,,,,,,,G3495658C,,,,,,,,,,C4153422A,T3361668C,,,,,,,,C2255839A,C1675080G,,,,,,,,,T555621G,C1013635T,G207592A,C239882A,G1485541C,G2528773A,G875682A,G323785A
G730087A,,,,G2622402A,,G3166706A,G1707800T,,G4155903T,G3824167C,,T3674157A,C1386936G,T3249025G,,,,G1478357T,,,,C3013911T,,C4386709T,,,C2461053A,,,,,C3665467T,C1930745T,A3798433G,G2316510A,,,,,,,,,T3600717G,,,,,,,,,,G4311329A,G3416905A,,,,,,,,G2281733A,C1730926T,,,,,,,,,C563965T,C1027496T,C211548A,C240360T,A1534820G,G2612300T,C917586T,T331340G
C752046T,,,,G2719850A,,C3178816T,G1756802A,,G4244420C,G4121388A,,T3775409C,C1462787A,A3375165C,,,,G1495836A,,,,G3035518A,,,,,G2560539A,,,,,C3819949A,C1976092T,C3805277A,T2361492G,,,,,,,,,C3688944T,,,,,,,,,,C4339927T,G3631160A,,,,,,,,G2369118A,G1760345T,,,,,,,,,G573190A,A1049460T,G212165A,C251795T,A1543495G,G2658676A,C918685T,T381278C
C797597T,,,,T2739385C,,C3395434T,C1885612G,,C4301972T,G4176694A,,G3778011A,G1527844A,A3477942G,,,,C1650406A,,,,C3068286T,,,,,A2713528C,,,,,A3877066C,C1980196G,G3851686T,C2394922T,,,,,,,,,G3788840T,,,,,,,,,,,T3875222G,,,,,,,,G2586790A,G1770593T,,,,,,,,,G588160T,C1069146T,T217794C,C254160A,A1555872G,C2682593T,A967706G,G387911A
C812502T,,,,C2753041T,,T3476583C,C1899810T,,,G4238120A,,C3830349T,C1640695T,G3587446A,,,,A1676880G,,,,G3170270A,,,,,C2820603T,,,,,A4007194C,A2094281G,C4021166T,G2396770C,,,,,,,,,T3894176C,,,,,,,,,,,C3876024G,,,,,,,,G2593424C,T1772498G,,,,,,,,,C609003G,G1107897A,A227697G,C260307T,C1732719G,A2723847G,C1000167T,G389880C
A850985G,,,,C2787989T,,G3526539A,C2020026G,,,C4285318T,,C3979990G,C1650786T,T3612813C,,,,C1748439T,,,,G3262043T,,,,,C2847933T,,,,,C4145770A,G2099224A,C4302518T,G2446461A,,,,,,,,,G4050877C,,,,,,,,,,,C4021272T,,,,,,,,G2665304A,G1789821A,,,,,,,,,G610787A,C1153920T,T232985C,C271188A,A1766556T,G2774180C,A1017292G,A397203G
C865761T,,,,C2815277T,,G3546754C,C2279758T,,,C4299514T,,G3993058A,T1793561G,A3643985C,,,,C1764225T,,,,G3521109A,,,,,C3041098G,,,,,C4315859T,G2122866A,G4391663A,G2507412A,,,,,,,,,G4076546A,,,,,,,,,,,G4141953A,,,,,,,,T2847973C,C1824963T,,,,,,,,,G613957T,A1177815G,C237762T,G293874C,C1826775A,G2912516A,C1043493T,A414539G
A895082G,,,,C2906008T,,G3841253A,C2369187T,,,G4356477A,,A4167656G,T1878221C,A3704770G,,,,C1802047G,,,,A3629291G,,,,,C3150994G,,,,,G4337622A,G2145616C,,C2525776T,,,,,,,,,G4141036T,,,,,,,,,,,G4208487A,,,,,,,,T2860901C,A1835884G,,,,,,,,,G622361A,G1220180A,C246359T,C311316A,G1837879T,G3229201A,G1055663A,G414606A
C895120T,,,,G2963892A,,G4361089A,G2369460A,,,G4360524C,,G4182387C,C1881090T,G4050811A,,,,C1827468A,,,,C3786474T,,,,,G3213615A,,,,,A4346164G,C2312864T,,C2559151T,,,,,,,,,T4148529G,,,,,,,,,,,G4249012A,,,,,,,,C2875883T,C1848272A,,,,,,,,,C635775T,G1226021T,T247732G,C312539G,A1844722C,C3371365T,G1069305C,A415677G
C910015A,,,,A2990752C,,G4411475A,G2414870A,,,,,A4205325G,T1901171C,G4115890C,,,,C1833025T,,,,G3873066A,,,,,A3241734C,,,,,G4392074T,C2364577G,,G2748087A,,,,,,,,,G4225647A,,,,,,,,,,,C4266036G,,,,,,,,G2889947A,G1875691C,,,,,,,,,C648756T,T1275025A,C254676A,T316058C,C1897045A,G3371401A,T1173430G,T415993G
C952597T,,,,C2996912T,,,G2418554A,,,,,G4254431A,C2047343G,G4120390C,,,,G1908598A,,,,G3903429A,,,,,G3295605T,,,,,G4404313A,G2450245A,,C2988815G,,,,,,,,,G4251087A,,,,,,,,,,,G4392120A,,,,,,,,G2911595A,C1902550T,,,,,,,,,T660153G,C1275084T,C255200T,C322687A,A1916707C,G3447463A,C1182226T,C449936G
C987601T,,,,G3032887A,,,C2513411G,,,,,C4290135T,C2119323T,G4186678A,,,,G1925136A,,,,G4165272A,,,,,A3504213G,,,,,,C2475787T,,A3086742C,,,,,,,,,G4316114A,,,,,,,,,,,,,,,,,,,C2927664T,C1945383A,,,,,,,,,A666713C,C1283851T,T255950G,C328899T,G1976755T,G3467315C,C1203046T,G472597A
G996219A,,,,G3036413A,,,C2536740T,,,,,G4301075C,C2146523T,G4189210T,,,,T1926029C,,,,A4254465C,,,,,G3626305A,,,,,,C2479674T,,T3104336C,,,,,,,,,C4349688T,,,,,,,,,,,,,,,,,,,A2933223G,G2069602A,,,,,,,,,G667950A,G1314261A,C271357A,C331976T,C2002724T,C3534980G,G1205308C,T480416C
T1002342C,,,,A3092402C,,,A2702369G,,,,,G4308395A,C2200042T,C4359653T,,,,G1977646A,,,,T4326176G,,,,,C3910829T,,,,,,G2517405A,,A3218122C,,,,,,,,,G4350446C,,,,,,,,,,,,,,,,,,,G2952922T,C2076037T,,,,,,,,,C678934A,C1368133A,C280519T,C343314T,C2055726T,C3584190T,C1231396T,C487388A
C1009490T,,,,C3338834A,,,G2712566T,,,,,,G2239156T,,,,,C2003252T,,,,G4384570C,,,,,G3939163A,,,,,,T2531069C,,G3391074C,,,,,,,,,C4389202T,,,,,,,,,,,,,,,,,,,G3033922A,C2089861T,,,,,,,,,C686146T,C1372002T,T283436G,T344352G,G2189377A,C3706876G,C1253599T,G494702A
G1022613A,,,,C3394177T,,,A2719938G,,,,,,A2319843G,,,,,G2011568C,,,,,,,,,G4118179A,,,,,,G2742591T,,G3422687A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3139540T,A2136627G,,,,,,,,,T701878G,C1384188A,T284051G,G344414C,C2237320A,C3877256T,G1255177A,G500710A
A1029997G,,,,A3525374G,,,G2730348A,,,,,,G2321583A,,,,,C2034676T,,,,,,,,,T4144971G,,,,,,C2742996A,,C3442970T,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3231548G,C2151457T,,,,,,,,,A708263G,C1388517T,G298713A,C345525A,C2347054A,G3904490A,G1335651A,G510015A
C1043136T,,,,C3531656T,,,C2755330T,,,,,,C2346763A,,,,,C2087652T,,,,,,,,,C4146926T,,,,,,G2813075A,,G3469694T,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3268258T,A2333854C,,,,,,,,,G731750C,C1391728T,C302889A,G358173C,A2432984G,G4021093T,C1336072T,T511040C
G1048102A,,,,A3531706G,,,G2887243A,,,,,,G2411810A,,,,,C2186236T,,,,,,,,,T4208009G,,,,,,C2834601T,,G3574504A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3274951C,C2454006T,,,,,,,,,G740038C,C1452717T,C307534G,G387604A,G2530997T,G4028925T,C1352604T,C533092G
A1066038G,,,,G3538128A,,,G2911916A,,,,,,C2442398T,,,,,G2275764A,,,,,,,,,T4212656C,,,,,,T2880480G,,C3666905T,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3360152A,C2507524G,,,,,,,,,C745835G,C1490140T,G332746A,C398579T,G2631607A,G4157578A,T1391056G,C538706G
A1072342G,,,,A3554354G,,,C3220048T,,,,,,C2459699T,,,,,T2284456G,,,,,,,,,G4243833A,,,,,,C2956731T,,C3867404A,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3369702A,G2560425A,,,,,,,,,G773021A,G1515003A,G345719C,G439975A,G2648005C,G4164080A,A1393507G,A546602C
A1083755G,,,,G3629203A,,,G3272697A,,,,,,G2484526C,,,,,G2285558A,,,,,,,,,G4246930C,,,,,,C2986216T,,C3868379T,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3448567G,C2652561T,,,,,,,,,C801959T,T1521892C,C347456A,C442072A,G2723440C,T4229470C,C1446484A,C559970T
C1086648A,,,,A3664603T,,,G3488278C,,,,,,G2545013A,,,,,G2309203A,,,,,,,,,G4294328A,,,,,,G2990775A,,A3875230G,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3472473T,C2679283T,,,,,,,,,A861279C,G1581727A,G349081A,G442473A,C2736153T,G4322905A,C1454432T,G572945A
T1111518C,,,,G3784975A,,,G3520485T,,,,,,G2573553A,,,,,T2335080C,,,,,,,,,G4306984A,,,,,,G3072437A,,G4073918A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3526884A,C2754453T,,,,,,,,,G863975T,C1585900T,A353026C,G446427A,G2750052A,,A1478850G,T584104G
C1119739T,,,,G3820722A,,,G3642173A,,,,,,T2582198G,,,,,C2346929T,,,,,,,,,A4315064G,,,,,,T3137917C,,C4129917A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3622049A,C2847965A,,,,,,,,,T872863G,G1676742T,A379417G,C453646T,C2848837A,,T1518463A,G587601A
G1121071A,,,,G3879882A,,,C3651032T,,,,,,C2605187T,,,,,G2452452A,,,,,,,,,G4400239A,,,,,,A3141630C,,C4168771T,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3788280T,G2869984A,,,,,,,,,G892659A,C1686538T,C381053T,G457731A,G2861269A,,G1520669A,C602982T
G1139222A,,,,G3897374A,,,C3653225T,,,,,,A2610122G,,,,,T2516271C,,,,,,,,,,,,,,,C3143729T,,G4212976A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3879961A,T2871558G,,,,,,,,,G904367C,G1690970T,C386956T,C459239A,G2865369T,,C1538651G,G634348A
C1155700T,,,,C3988745G,,,G3665931T,,,,,,G2623273A,,,,,C2536312T,,,,,,,,,,,,,,,G3217010T,,C4280072A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4004368T,G2908128A,,,,,,,,,C905344A,T1714678C,A412842G,C473589T,A2902583G,,G1550755A,T665220C
G1157771C,,,,C4020756G,,,C3769784T,,,,,,C2648929T,,,,,G2591172A,,,,,,,,,,,,,,,G3309473A,,G4309617T,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4063257A,A2915666G,,,,,,,,,C907906T,C1728324A,G420243A,G475994A,C2958528T,,C1603185T,C684214T
G1184826T,,,,C4047879T,,,C3894150A,,,,,,C2730205A,,,,,G2656635A,,,,,,,,,,,,,,,C3330637G,,G4310449A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4103911A,G2919268A,,,,,,,,,T991740C,C1810253T,C443264T,C477648A,A3006766G,,G1608427A,C696118T
T1199019C,,,,C4141864A,,,G3911938A,,,,,,G2778196A,,,,,C2688700T,,,,,,,,,,,,,,,C3359036A,,C4324042T,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4222343A,C3130916A,,,,,,,,,A1004177C,C1811964A,G452375A,C508454T,G3040601T,,C1622499T,C698131T
A1228116G,,,,G4157259A,,,C4010994T,,,,,,T2782240C,,,,,T2700222C,,,,,,,,,,,,,,,T3367848C,,A4355141C,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4337926A,T3205461G,,,,,,,,,T1025135C,G1829836A,T453561C,G554742A,G3041643A,,C1673766T,C706429T
G1237403A,,,,G4167642T,,,G4018725A,,,,,,C2783790T,,,,,C2712328T,,,,,,,,,,,,,,,C3415624T,,G4376445A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3211345A,,,,,,,,,G1038813A,C1840543T,C456189A,C562059T,A3045833C,,G1700470T,A707844G
G1320508A,,,,G4298896A,,,G4084405A,,,,,,G2815465T,,,,,G2782498A,,,,,,,,,,,,,,,C3431590A,,T4388730C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3295387A,,,,,,,,,A1058309G,C1841538T,C473760T,G564734A,G3087782T,,T1718087G,C709306A
C1320614G,,,,G4325923A,,,G4095404A,,,,,,A2867432G,,,,,C2798595T,,,,,,,,,,,,,,,C3504611G,,G4394744C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3307644C,,,,,,,,,C1077102T,C1855260T,C482789A,C568389A,C3227252T,,G1718813C,C709952G
C1356648T,,,,C4349129T,,,A4130200G,,,,,,G2880615A,,,,,G2817747A,,,,,,,,,,,,,,,G3595027A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400894A,,,,,,,,,G1141069T,C1867707T,C492739T,G581672T,C3258046G,,G1823703A,G714884A
C1369389T,,,,A4399888G,,,G4346294C,,,,,,C2880668T,,,,,A2895473G,,,,,,,,,,,,,,,G3654876T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3418241G,,,,,,,,,C1145442G,G1886077A,G497126A,C589404A,G3286906A,,G1827833A,G721200A
G1369735A,,,,,,,,,,,,,G2887475T,,,,,G2903050A,,,,,,,,,,,,,,,C3680527A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3428230T,,,,,,,,,G1186287T,G1907794A,G498932T,G595051T,T3287507C,,C1871069T,G727605T
C1374578T,,,,,,,,,,,,,G2932819T,,,,,G2941179A,,,,,,,,,,,,,,,C3847898T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3506049A,,,,,,,,,G1192641T,G1937727T,C517025A,C601402T,G3370805C,,A1888893C,G748320A
T1374639A,,,,,,,,,,,,,G3063565A,,,,,G2964594A,,,,,,,,,,,,,,,G3848194C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3519713T,,,,,,,,,C1240578T,G1970407T,T526533G,C611424T,C3390795T,,G1908084A,C789117T
G1387211A,,,,,,,,,,,,,C3139686T,,,,,G3010014A,,,,,,,,,,,,,,,C3858856T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3574690A,,,,,,,,,C1242007T,G1970432A,C534342A,G616595T,G3414553A,,A1945801G,A794122G
C1389866T,,,,,,,,,,,,,A3223856C,,,,,C3027548T,,,,,,,,,,,,,,,G3896048T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3611111A,,,,,,,,,T1242416C,G2005758C,C536722T,A625303T,C3421758A,,G2003684A,A808432T
C1417019T,,,,,,,,,,,,,G3240567A,,,,,C3043700T,,,,,,,,,,,,,,,A4113001G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3619458T,,,,,,,,,T1243724C,C2060557T,G540424T,C630300A,G3479573A,,A2012868G,A810423G
G1417793A,,,,,,,,,,,,,G3242930C,,,,,C3069566T,,,,,,,,,,,,,,,G4161092A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3685008C,,,,,,,,,A1250131G,C2115064T,G545800C,G636670A,C3526452A,,C2108164T,G816409T
C1443354T,,,,,,,,,,,,,G3256848A,,,,,A3072285C,,,,,,,,,,,,,,,C4183402A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3722679C,,,,,,,,,C1255685T,C2115776T,C560504T,G637273A,C3602855A,,A2141769C,A831525C
G1560912A,,,,,,,,,,,,,T3320975C,,,,,C3076172T,,,,,,,,,,,,,,,G4215426A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3785011T,,,,,,,,,A1256176G,G2159337T,C562311T,A643928G,C3610650T,,C2180535T,C834824T
C1568178T,,,,,,,,,,,,,A3346511C,,,,,G3208600A,,,,,,,,,,,,,,,T4254739C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3821559G,,,,,,,,,A1256895C,T2199061G,A611543C,G650106T,G3615709T,,A2193581G,C858137T
A1575793G,,,,,,,,,,,,,G3382910A,,,,,C3212723A,,,,,,,,,,,,,,,C4286885T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3874051T,,,,,,,,,A1275333G,A2265993C,A612629C,C660652T,A3678107C,,A2194204G,G862747T
G1580181A,,,,,,,,,,,,,C3424878T,,,,,G3236442A,,,,,,,,,,,,,,,A4360964G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3925644C,,,,,,,,,A1283821G,C2266051T,C626380A,C661759A,A3698626G,,C2271939T,T865058C
C1581377T,,,,,,,,,,,,,C3436300T,,,,,T3244113C,,,,,,,,,,,,,,,G4381644A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3931072T,,,,,,,,,T1358934G,A2276918G,C633147T,G670805T,G3799400A,,G2279228T,A872261T
C1589739T,,,,,,,,,,,,,G3444109A,,,,,C3273107A,,,,,,,,,,,,,,,G4398557A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3972803T,,,,,,,,,C1377185G,T2323880C,C636120A,G679280A,C3800971T,,C2286000T,T907834C
C1601528T,,,,,,,,,,,,,G3447102T,,,,,G3306441A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3985375A,,,,,,,,,T1419373C,C2389698A,A637585C,C680146T,G3886397T,,C2292409T,G912467A
A1604290T,,,,,,,,,,,,,A3456397G,,,,,C3312620A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4090418T,,,,,,,,,A1436284G,G2474271A,G648647T,A682156C,G3902789A,,G2379636A,G942322A
G1647830A,,,,,,,,,,,,,C3478092G,,,,,C3385218T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4231674A,,,,,,,,,C1463143T,G2520466A,G654376A,G687333A,T3984704C,,C2382830A,T949892G
T1691520G,,,,,,,,,,,,,G3483703A,,,,,C3393640T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4251810A,,,,,,,,,G1487674A,T2526709C,T655155C,C698875T,C4002869T,,C2392387T,G950010A
C1721490G,,,,,,,,,,,,,A3513538T,,,,,C3515467T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4268573T,,,,,,,,,C1505806T,C2544466T,G656656A,A705043G,G4050944T,,T2392637C,C952865T
A1731563T,,,,,,,,,,,,,T3534662C,,,,,G3562338T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4314614T,,,,,,,,,G1507920A,G2590122A,C669984T,C708688T,C4134149G,,G2427314C,G971699T
A1739390G,,,,,,,,,,,,,G3559689T,,,,,C3645524T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C4376781T,,,,,,,,,C1509093G,G2614882A,T688558A,G708762T,G4191573T,,G2433547A,G1001257A
T1745446A,,,,,,,,,,,,,G3576359A,,,,,C3656206A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4384820A,,,,,,,,,C1545472T,T2623603C,T693742C,C721594T,C4235022A,,C2496141T,A1012060G
T1791823C,,,,,,,,,,,,,G3578190A,,,,,C3729342T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1545720G,C2641813T,T699431G,G724695A,T4235425G,,G2535243A,G1012748A
C1826343T,,,,,,,,,,,,,A3697978G,,,,,A3994101G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1550945G,T2641828C,C704034G,C725774T,G4241489A,,G2547295A,G1031572A
G1826624A,,,,,,,,,,,,,A3725630C,,,,,A4033711G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1555432T,G2672906A,G716126A,C726870T,G4281756A,,C2700142A,G1037299C
C1827553G,,,,,,,,,,,,,G3784492A,,,,,C4096636T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1585032T,C2710422T,A718229G,C740285T,C4402976T,,G2701538A,A1047661C
G1832642T,,,,,,,,,,,,,G3788150A,,,,,C4195799A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1591039A,G2819183A,A719387C,G742270T,T4408457C,,C2701977T,C1067386T
G1839329A,,,,,,,,,,,,,C3798081T,,,,,C4222131T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1601722T,C2835261T,C732691G,C745777A,,,C2714317T,G1067609A
C1853974T,,,,,,,,,,,,,C4074482T,,,,,C4226275T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1603637C,G2854864A,C737363A,C755470T,,,C2735139T,C1071539T
G1873954T,,,,,,,,,,,,,G4090667A,,,,,G4242075A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1611024T,C2871717T,C741333A,G758571A,,,G2741028A,C1074474T
C1886263G,,,,,,,,,,,,,A4096171G,,,,,G4292941A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1649265A,C2886640G,T746166G,G775611T,,,G2799248T,C1081629T
G1887284A,,,,,,,,,,,,,C4137950T,,,,,T4301870C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1658030T,G2891366A,C752014T,G822260A,,,A2808328C,C1085567T
G1902156A,,,,,,,,,,,,,G4141505C,,,,,G4305243A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1669296A,G2927864A,A764013C,T936869G,,,C2889358T,C1099228T
C1907177T,,,,,,,,,,,,,C4143738T,,,,,G4328492A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1678639G,G2984105A,T771378C,C941719T,,,G2893923A,C1125468T
G1923985A,,,,,,,,,,,,,G4165481C,,,,,C4396495A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1686414T,T3016608G,C774301T,C943868T,,,T2899273C,A1131309G
G1940307T,,,,,,,,,,,,,C4168959G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1686737T,C3029360T,C776202G,T958925G,,,G2990241T,A1139698G
G1978807T,,,,,,,,,,,,,G4232049C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1710085C,G3057309A,G796515A,G1005061T,,,A3000112G,G1177000A
G2013943C,,,,,,,,,,,,,G4233767C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1721987T,C3057375T,C799237T,C1030188A,,,G3033934A,G1183362C
G2035937A,,,,,,,,,,,,,G4234805A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1754786A,A3137026C,C806841T,G1032300A,,,G3063326A,G1187902A
T2066471C,,,,,,,,,,,,,A4246088G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1757727A,G3147243A,C811642T,C1040256T,,,C3071554T,C1195238T
T2083124C,,,,,,,,,,,,,C4264825G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1799921A,G3155164A,G821057A,C1059920T,,,G3086520A,C1202094T
G2090306A,,,,,,,,,,,,,C4287178T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1846854A,C3346980T,A826066G,C1081783T,,,G3094181A,C1210022A
G2092391T,,,,,,,,,,,,,T4306758A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1849814G,A3554298G,C829407T,C1102289T,,,G3159906A,C1211274T
C2096094T,,,,,,,,,,,,,C4345707T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1853565A,C3586551A,A845487G,G1143756T,,,G3195372A,G1215822T
A2096430C,,,,,,,,,,,,,G4395083C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1870194C,G3591488A,T850343C,G1147672T,,,G3206759A,T1237312G
G2177968T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1909456T,C3596407T,G872505A,G1154672T,,,C3291797T,A1240481C
G2185358A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1911301T,C3599099A,C873676G,G1227518A,,,T3432187G,C1241950T
A2249035G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1926500T,C3622618G,G879323C,G1242471T,,,C3437813T,C1243942T
G2255942T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1939763A,A3635117G,G885228A,G1256794T,,,G3465059A,C1250415A
G2309356A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C1942121T,G3673210T,T893119G,G1258972T,,,G3513595A,C1286172T
G2348482T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1951438A,C3693548T,G896431A,C1260255T,,,A3514170C,A1288923C
G2374442A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G1961730A,C3789077T,G904403A,A1276641G,,,T3538563C,A1289401G
C2397760G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G2005152A,C3792262A,A907649C,C1301200A,,,C3609827T,G1321202C
G2450045A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2005607G,C3823494A,A912040C,C1312473T,,,C3636471T,G1330443A
