Sample_id,MixInfect,bayesian,Demixer,0,avg,long_bar,mean,,,,,,,,,,
ERR221594,Non-Mix,Non-mix,Non-Mix,high,0.09,182,0.079285714,4.3.4.2.1,,,,,1,,,,
ERR221595,Non-Mix,Non-mix,Non-Mix,high,0.12,194,0.085746844,4.9.1,,,,,1,,,,
ERR221596,Non-Mix,Non-mix,Non-Mix,high,0.09,201,0.088973291,1.2.2,,,,,1,,,,
ERR221597,Non-Mix,Non-mix,Non-Mix,medium,0.1,229,0.093443723,4.3.4.2.1,,,,,1,,,,
ERR221598,Non-Mix,Non-mix,Non-Mix,medium,0.09,230,0.088173245,4.3.4.2.1,,,,,1,,,,
ERR221599,Non-Mix,Non-mix,Non-Mix,high,0.09,207,0.096981159,4.6,,,,,1,,,,
ERR221606,Non-Mix,Non-mix,Non-Mix,medium,0.1,233,0.082894448,1.2.2.1,,,,,1,,,,
ERR221607,Non-Mix,Non-mix,Non-Mix,high,0.09,185,0.084073795,1.1.2,,,,,1,,,,
ERR221609,Non-Mix,Non-mix,Non-Mix,medium,0.08,293,0.07309141,4.3.4.2.1,,,,,1,,,,
ERR221610,Non-Mix,Non-mix,Non-Mix,high,0.09,206,0.082478334,4.3.4.2.1,,,,,1,,,,
ERR221611,Mix,Mix,Mix,high,0.09,392,0.082867133,3.1.1,4.3.4.2.1,4.6,,,0.97,0.01,0.02,,
ERR221612,Non-Mix,Non-mix,Non-Mix,high,0.09,192,0.099336906,4.3.4.2.1,,,,,1,,,,
ERR221613,Non-Mix,Non-mix,Non-Mix,medium,0.08,259,0.078004354,4.3.4.2.1,,,,,1,,,,
ERR221614,Non-Mix,Non-mix,Non-Mix,high,0.12,203,0.084004217,4.3.4.2.1,,,,,1,,,,
ERR221615,Non-Mix,Non-mix,Non-Mix,medium,0.1,242,0.086501734,4.3.4.2.1,,,,,1,,,,
ERR245646,Non-Mix,Non-mix,Mix,high,0.03,555,0.035216117,3.1.1,4,,,,0.94,0.06,,,
ERR245647,Non-Mix,Non-mix,Non-Mix,low,0.03,593,0.033060606,1.1.3.2,,,,,1,,,,
ERR245648,Non-Mix,Non-mix,Non-Mix,low,0.02,677,0.029810851,1.1.3.2,,,,,1,,,,
ERR245649,Non-Mix,Non-mix,Non-Mix,low,0.03,644,0.036240895,4.8,,,,,1,,,,
ERR245650,Non-Mix,Non-mix,Non-Mix,low,0.03,604,0.036555105,4.9.1,,,,,1,,,,
ERR245651,Non-Mix,Non-mix,Mix,high,0.03,561,0.030629793,1.2.2,4,,,,0.96,0.04,,,
ERR245652,Non-mix,Non-mix,Non-Mix,low,0.02,896,0.034201248,1.1.3.2,,,,,1,,,,
ERR245653,Non-Mix,Non-mix,Non-Mix,low,0.03,624,0.034807849,4.9.1,,,,,1,,,,
ERR245655,Non-Mix,Non-mix,Mix,high,0.03,542,0.038392418,2.2.1,4,,,,0.97,0.03,,,
ERR245656,Non-Mix,Non-mix,Non-Mix,low,0.04,410,0.110070805,1.1.3.2,,,,,1,,,,
ERR245657,Non-Mix,Non-mix,Non-Mix,low,0.03,612,0.035653554,1.1.3.2,,,,,1,,,,
ERR245658,Non-Mix,Non-mix,Non-Mix,low,0.03,670,0.042220544,4.9.1,,,,,1,,,,
ERR245659,Non-Mix,Non-mix,Non-Mix,low,0.03,543,0.042558689,4.9.1,,,,,1,,,,
ERR245660,Non-Mix,Non-mix,Mix,high,0.02,627,0.037453563,2.2.1,4,,,,0.97,0.03,,,
ERR245661,Non-Mix,Non-mix,Non-Mix,low,0.03,529,0.041019488,4.3.4.2.1,,,,,1,,,,
ERR245662,Non-Mix,Non-mix,Mix,high,0.04,376,0.11645832,1.2.2.1,4,,,,0.98,0.02,,,
ERR245663,Non-Mix,Non-mix,Mix,high,0.03,604,0.032887594,2.2.1,4,,,,0.97,0.03,,,
ERR245664,Non-Mix,Non-mix,Non-Mix,low,0.03,555,0.042485932,4.3.4.2,,,,,0.99,,,,
ERR245665,Non-Mix,Non-mix,Non-Mix,low,0.02,748,0.036021729,4.3.4.2.1,,,,,1,,,,
ERR245666,Non-Mix,Non-mix,Non-Mix,low,0.03,472,0.040203295,4.3.4.2.1,,,,,1,,,,
ERR245667,Non-mix,Non-mix,Non-Mix,low,0.03,519,0.041926426,4.3.4.2.1,,,,,1,,,,
ERR245668,Non-Mix,Non-mix,Mix,medium,0.05,366,0.11059952,3.1.1,4,,,,0.94,0.06,,,
ERR245669,Non-Mix,Non-mix,Mix,high,0.03,450,0.039782931,3,4,,,,0.94,0.06,,,
ERR245670,Non-Mix,Non-mix,Mix,high,0.03,636,0.032086434,1.2.2,4,,,,0.96,0.04,,,
ERR245671,Non-mix,Non-mix,Mix,high,0.02,725,0.03379891,3.1.1,4,,,,0.93,0.07,,,
ERR245672,Non-Mix,Non-mix,Mix,high,0.02,677,0.030533949,1.2.2.1,4,,,,0.98,0.02,,,
ERR245673,Non-Mix,Non-mix,Non-Mix,low,0.03,601,0.039244478,4.3.4.2.1,,,,,1,,,,
ERR245674,Non-Mix,Non-mix,Non-Mix,low,0.03,572,0.032524813,1.1.3.2,,,,,1,,,,
ERR245676,Non-mix,Non-mix,Mix,high,0.02,873,0.03625551,3.1.1,4,,,,0.93,0.07,,,
ERR245677,Non-Mix,Non-mix,Non-Mix,low,0.02,729,0.028883077,1.1.3.2,,,,,1,,,,
ERR245678,Non-mix,Non-mix,Mix,high,0.03,512,0.042396618,3,4,,,,0.94,0.06,,,
ERR245679,Non-Mix,Non-mix,Non-Mix,low,0.04,380,0.141473927,1.1.3.2,,,,,1,,,,
ERR245680,Non-Mix,Non-mix,Mix,high,0.03,418,0.041605712,2.2.1,4,,,,0.98,0.02,,,
ERR245681,Non-Mix,Non-mix,Non-Mix,low,0.03,563,0.035171484,4.3.4.2.1,,,,,1,,,,
ERR245682,Non-Mix,Non-mix,Mix,high,0.02,927,0.034261603,3,4,,,,0.94,0.06,,,
ERR245683,Non-Mix,Non-mix,Non-Mix,low,0.02,759,0.037971581,4.3.4.2.1,,,,,1,,,,
ERR245684,Non-Mix,Non-mix,Mix,high,0.02,775,0.035562101,3.1.1,4,,,,0.93,0.07,,,
ERR245685,Non-Mix,Non-mix,Non-Mix,low,0.03,502,0.040128115,4.9.1,,,,,1,,,,
ERR245686,Non-Mix,Non-mix,Non-Mix,low,0.02,703,0.033448144,4.3.4.2.1,,,,,1,,,,
ERR245687,Non-Mix,Non-mix,Mix,high,0.03,535,0.037363127,3.1.1,4,,,,0.93,0.07,,,
ERR245688,Non-Mix,Non-mix,Mix,high,0.03,571,0.040702479,3.1.1,4,,,,0.93,0.07,,,
ERR245689,Non-Mix,Non-mix,Mix,high,0.03,479,0.033169786,3.1.1,4,,,,0.94,0.06,,,
ERR245690,Non-Mix,Non-mix,Non-Mix,low,0.03,625,0.037646653,4.3.4.1,,,,,1,,,,
ERR245691,Non-Mix,Non-mix,Mix,high,0.03,603,0.033955877,1.1.2,4,,,,0.95,0.05,,,
ERR245692,Non-Mix,Non-mix,Mix,high,0.03,500,0.039219902,2.2.1,4,,,,0.97,0.03,,,
ERR245693,Non-Mix,Non-mix,Non-Mix,low,0.03,534,0.035161553,4.3.4.2.1,,,,,1,,,,
ERR245694,Non-Mix,Non-mix,Mix,high,0.03,437,0.033026954,3.1.1,4,,,,0.94,0.06,,,
ERR245695,Non-Mix,Non-mix,Non-Mix,low,0.12,373,0.106279344,1.1.3.2,,,,,1,,,,
ERR245696,Non-Mix,Non-mix,Mix,high,0.14,385,0.107741935,2.2.1,4,,,,0.98,0.02,,,
ERR245698,Non-mix,Non-mix,Mix,high,0.14,408,0.105990147,1.1.2,4,,,,0.95,0.05,,,
ERR245699,Non-Mix,Non-mix,Mix,high,0.14,384,0.105206074,1.1.2,4,,,,0.96,0.04,,,
ERR245700,Non-Mix,Non-mix,Non-Mix,medium,0.14,331,0.106398508,4.3.4.2.1,,,,,1,,,,
ERR245701,Non-Mix,Non-mix,Non-Mix,medium,0.14,351,0.098863659,4.8,,,,,1,,,,
ERR245702,Non-mix,Non-mix,Mix,medium,0.11,371,0.106249032,3.1.1,4,,,,0.94,0.06,,,
ERR245703,Non-Mix,Non-mix,Non-Mix,medium,0.12,359,0.106514658,1.1.3.2,,,,,1,,,,
ERR245704,Non-Mix,Non-mix,Mix,medium,0.12,344,0.103774656,3.1.1,4,,,,0.94,0.06,,,
ERR245705,Non-Mix,Non-mix,Non-Mix,medium,0.15,365,0.103099248,1.1.3.2,,,,,1,,,,
ERR245706,Non-Mix,Non-mix,Non-Mix,low,0.02,799,0.032045052,4.3.4.2.1,,,,,1,,,,
ERR245707,Non-Mix,Non-mix,Non-Mix,low,0.02,787,0.034951149,4.3.4.2.1,,,,,1,,,,
ERR245708,Non-Mix,Non-mix,Non-Mix,low,0.03,625,0.031509284,4.3.4.2.1,,,,,1,,,,
ERR245709,Non-Mix,Non-mix,Non-Mix,low,0.02,826,0.031742983,4.3.4.2.1,,,,,1,,,,
ERR245710,Non-Mix,Non-mix,Mix,high,0.03,663,0.033128287,2.2.1,4,,,,0.97,0.03,,,
ERR245711,Non-Mix,Non-mix,Non-Mix,low,0.02,849,0.036466217,4.1.2,,,,,1,,,,
ERR245712,Non-Mix,Non-mix,Non-Mix,low,0.02,791,0.033729649,4.9.1,,,,,1,,,,
ERR245713,Non-Mix,Non-mix,Mix,high,0.02,916,0.034775749,3.1.1,4,,,,0.93,0.07,,,
ERR245714,Non-Mix,Non-mix,Non-Mix,low,0.03,718,0.03943038,4.9.1,,,,,1,,,,
ERR245715,Non-Mix,Non-mix,Mix,high,0.03,618,0.033100233,3.1.1,4,,,,0.94,0.06,,,
ERR245716,Mix,Non-mix,Mix,high,0.07,887,0.072619048,2.2.1,4.4.1.2,,,,0.92,0.08,,,
ERR245717,Non-Mix,Non-mix,Non-Mix,low,0.02,973,0.029626572,1.1.3.2,,,,,1,,,,
ERR245718,Non-Mix,Non-mix,Non-Mix,low,0.02,750,0.030067751,4.3.4.2,,,,,0.99,,,,
ERR245719,Non-Mix,Non-mix,Non-Mix,low,0.03,1072,0.037676569,4.9.1,,,,,1,,,,
ERR245720,Non-Mix,Non-mix,Non-Mix,low,0.02,829,0.028790804,1.1.3.2,,,,,1,,,,
ERR245721,Non-Mix,Non-mix,Non-Mix,low,0.02,811,0.035584985,1.1.3.2,,,,,1,,,,
ERR245722,Non-Mix,Non-mix,Mix,high,0.03,754,0.036744203,3,4,,,,0.94,0.06,,,
ERR245723,Non-Mix,Non-mix,Mix,high,0.02,788,0.03504506,2.2.1,4,,,,0.97,0.03,,,
ERR245724,Non-Mix,Non-mix,Non-Mix,low,0.03,566,0.036647212,4.3.4.2,,,,,0.99,,,,
ERR245726,Non-Mix,Non-mix,Mix,high,0.03,593,0.034445091,3.1.1,4,,,,0.94,0.06,,,
ERR245727,Non-Mix,Non-mix,Mix,high,0.03,603,0.036609447,1.2.2.1,4,,,,0.99,0.01,,,
ERR245728,Non-Mix,Non-mix,Mix,high,0.02,737,0.033359408,2.2.1,4,,,,0.97,0.03,,,
ERR245730,Non-Mix,Non-mix,Non-Mix,low,0.03,588,0.036808022,4.3.4.2.1,,,,,1,,,,
ERR245731,Non-Mix,Non-mix,Non-Mix,low,0.03,663,0.040721484,4.9.1,,,,,1,,,,
ERR245732,Non-Mix,Non-mix,Mix,high,0.03,596,0.039393939,3.1.1,4,,,,0.93,0.07,,,
ERR245733,Non-Mix,Non-mix,Non-Mix,low,0.03,521,0.038660142,4.3.4.2,,,,,0.99,,,,
ERR245734,Non-Mix,Non-mix,Non-Mix,low,0.03,609,0.040027552,1.1.3.2,,,,,1,,,,
ERR245735,Non-mix,Non-mix,Mix,high,0.03,614,0.036159904,2.2.1,4,,,,0.97,0.03,,,
ERR245736,Non-Mix,Non-mix,Non-Mix,low,0.03,521,0.044207175,4,,,,,1,,,,
ERR245737,Non-Mix,Non-mix,Non-Mix,low,0.03,590,0.04,4.3.4.2.1,,,,,1,,,,
ERR245738,Non-Mix,Non-mix,Non-Mix,low,0.03,391,0.047442608,4.3.4.2.1,,,,,1,,,,
ERR245739,Non-Mix,Non-mix,Mix,high,0.03,772,0.037983456,1.2.2.1,4,,,,0.98,0.02,,,
ERR245741,Non-Mix,Non-mix,Non-Mix,low,0.03,584,0.040725219,4.3.4.2,,,,,1,,,,
ERR245742,Non-Mix,Non-mix,Mix,high,0.15,389,0.120786482,1.1.2,4,,,,0.95,0.05,,,
ERR245743,Non-Mix,Non-mix,Non-Mix,low,0.02,777,0.031674473,4,,,,,1,,,,
ERR245744,Non-Mix,Non-mix,Non-Mix,medium,0.16,349,0.119513197,4.3.4.2.1,,,,,1,,,,
ERR245745,Non-Mix,Non-mix,Non-Mix,low,0.14,379,0.142751498,4.3.4.1,,,,,1,,,,
ERR245746,Non-Mix,Non-mix,Non-Mix,medium,0.18,368,0.119039931,4.3.4.2.1,,,,,1,,,,
ERR245747,Non-Mix,Non-mix,Mix,medium,0.14,369,0.123743622,3,4,,,,0.93,0.07,,,
ERR245748,Non-Mix,Non-mix,Non-Mix,low,0.16,380,0.156832298,1.1.3.2,,,,,1,,,,
ERR245749,Non-Mix,Non-mix,Non-Mix,medium,0.15,334,0.151336032,4.3.4.2.1,,,,,1,,,,
ERR245750,Non-Mix,Non-mix,Non-Mix,medium,0.15,352,0.118827029,4.3.4.2.1,,,,,1,,,,
ERR245751,Non-Mix,Non-mix,Mix,medium,0.12,341,0.12712397,1.2.2.1,4,,,,0.99,0.01,,,
ERR245752,Non-Mix,Non-mix,Non-Mix,medium,0.16,355,0.137209302,4.3.4.2,,,,,1,,,,
ERR245753,Non-Mix,Non-mix,Mix,medium,0.16,361,0.12303331,3,4,,,,0.94,0.06,,,
ERR245754,Mix,Mix,Mix,high,0.03,576,0.038225058,2.2.1,4.1.2,,,,0.41,0.59,,,
ERR245755,Non-Mix,Non-mix,Non-Mix,low,0.02,1016,0.033962264,4.3.4.2.1,,,,,1,,,,
ERR245756,Non-Mix,Non-mix,Non-Mix,low,0.02,1021,0.033335016,4.3.4.2.1,,,,,1,,,,
ERR245757,Non-Mix,Non-mix,Mix,high,0.02,868,0.033234648,3.1.1,4,,,,0.93,0.07,,,
ERR245758,Mix,Mix,Mix,high,0.11,855,0.093288223,4.4.1.2,4.9.1,,,,0.26,0.74,,,
ERR245759,Non-Mix,Non-mix,Non-Mix,low,0.03,607,0.031714875,4.1.2,,,,,1,,,,
ERR245760,Non-Mix,Non-mix,Non-Mix,low,0.03,517,0.033421168,1.1.3.2,,,,,1,,,,
ERR245761,Non-Mix,Non-mix,Non-Mix,low,0.03,589,0.032477821,1.1.3.2,,,,,1,,,,
ERR245762,Non-Mix,Non-mix,Non-Mix,low,0.03,587,0.035176046,4.3.2.1,,,,,1,,,,
ERR245763,Non-Mix,Non-mix,Non-Mix,low,0.02,930,0.030565583,1.1.3.2,,,,,1,,,,
ERR245765,Non-Mix,Non-mix,Non-Mix,low,0.03,507,0.036356239,4.3.4.1,,,,,1,,,,
ERR245766,Non-Mix,Non-mix,Mix,high,0.15,384,0.126966292,3.1.1,4,,,,0.94,0.06,,,
ERR245767,Non-Mix,Non-mix,Non-Mix,medium,0.14,357,0.109592959,4.3.4.2.1,,,,,1,,,,
ERR245768,Non-Mix,Non-mix,Mix,high,0.02,579,0.030133067,3.1.1,4,,,,0.93,0.07,,,
ERR245769,Non-Mix,Non-mix,Non-Mix,low,0.03,414,0.032966501,4.3.4.2.1,,,,,1,,,,
ERR245770,Non-Mix,Non-mix,Non-Mix,low,0.03,431,0.038934817,4.3.4.2.1,,,,,1,,,,
ERR245771,Non-Mix,Non-mix,Non-Mix,low,0.03,421,0.109192019,4.8,,,,,1,,,,
ERR245772,Non-Mix,Non-mix,Non-Mix,low,0.03,459,0.038163972,4.9.1,,,,,1,,,,
ERR245773,Non-Mix,Non-mix,Non-Mix,low,0.03,422,0.035257456,4.3.4.2,,,,,1,,,,
ERR245774,Non-mix,Non-mix,Non-Mix,low,0.04,438,0.159984476,4.1.2,,,,,1,,,,
ERR245775,Non-Mix,Non-mix,Non-Mix,low,0.02,571,0.032609547,1.1.3.2,,,,,1,,,,
ERR245776,Non-Mix,Non-mix,Non-Mix,low,0.03,440,0.149775886,4.3.4.2.1,,,,,1,,,,
ERR245777,Non-Mix,Non-mix,Mix,high,0.03,534,0.037740893,3.1.1,4,,,,0.93,0.07,,,
ERR245778,Non-Mix,Non-mix,Non-Mix,low,0.03,565,0.037157221,4.3.4.2.1,,,,,1,,,,
ERR245779,Non-Mix,Non-mix,Non-Mix,low,0.03,541,0.03741915,4.3.4.2.1,,,,,1,,,,
ERR245780,Non-Mix,Non-mix,Non-Mix,low,0.02,622,0.035822667,4.3.4.2.1,,,,,1,,,,
ERR245781,Non-Mix,Non-mix,Non-Mix,low,0.03,530,0.037666667,1.1.3.2,,,,,1,,,,
ERR245782,Non-Mix,Non-mix,Non-Mix,low,0.04,431,0.033751352,1.1.3.2,,,,,1,,,,
ERR245783,Non-Mix,Non-mix,Mix,high,0.03,542,0.037252747,2.2.1,4,,,,0.97,0.03,,,
ERR245784,Non-Mix,Non-mix,Non-Mix,low,0.03,542,0.036835671,1.1.3.2,,,,,1,,,,
ERR245785,Non-Mix,Non-mix,Non-Mix,low,0.03,580,0.033724165,4,,,,,1,,,,
ERR245786,Non-mix,Non-mix,Non-Mix,low,0.03,617,0.030118917,4.1.2,,,,,1,,,,
ERR245787,Non-Mix,Non-mix,Non-Mix,low,0.02,720,0.033763553,4.3.4.2.1,,,,,1,,,,
ERR245788,Non-Mix,Non-mix,Non-Mix,low,0.03,592,0.036623016,4.3.4.2,,,,,1,,,,
ERR245789,Non-Mix,Non-mix,Mix,high,0.03,516,0.040045249,3.1.1,4,,,,0.93,0.07,,,
ERR245791,Non-Mix,Non-mix,Non-Mix,low,0.03,588,0.03960887,4.1.2,,,,,1,,,,
ERR245792,Non-Mix,Non-mix,Mix,high,0.02,862,0.032367065,3.1.1,4,,,,0.93,0.07,,,
ERR245793,Non-Mix,Non-mix,Mix,high,0.03,530,0.033648071,3,4,,,,0.94,0.06,,,
ERR245795,Mix,Mix,Mix,medium,0.04,335,0.112121212,3.1.1,4.3.2.1,,,,0.31,0.69,,,
ERR245796,Non-mix,Non-mix,Mix,high,0.04,409,0.03221519,3.1.1,4,,,,0.94,0.06,,,
ERR245797,Mix,Mix,Mix,high,0.03,479,0.030756915,4.3.4.1,4.3.4.2.1,,,,0.84,0.16,,,
ERR245798,Non-Mix,Non-mix,Non-Mix,low,0.03,494,0.036517903,4.3.4.2.1,,,,,1,,,,
ERR245799,Non-Mix,Non-mix,Non-Mix,low,0.03,652,0.038767031,4.3.4.1,,,,,1,,,,
ERR245800,Non-Mix,Non-mix,Non-Mix,low,0.03,457,0.039209621,4.4.1.1,,,,,1,,,,
ERR245802,Non-Mix,Non-mix,Non-Mix,low,0.03,443,0.038993453,4.8,,,,,1,,,,
ERR245803,Non-Mix,Non-mix,Mix,high,0.03,553,0.036246355,3.1.1,4,,,,0.93,0.07,,,
ERR245804,Non-mix,Non-mix,Non-Mix,low,0.03,603,0.034333119,4.1.1.3,,,,,1,,,,
ERR245806,Non-Mix,Non-mix,Non-Mix,medium,0.04,327,0.042556881,4.8,,,,,1,,,,
ERR245807,Non-Mix,Non-mix,Non-Mix,low,0.03,403,0.041425887,4,,,,,1,,,,
ERR245808,Non-Mix,Non-mix,Mix,high,0.04,385,0.035755706,4.3.4.2.1,4.6,,,,0.99,0.01,,,
ERR245811,Non-Mix,Non-mix,Mix,medium,0.03,368,0.03586164,1.2.2.1,4,,,,0.98,0.02,,,
ERR245812,Non-Mix,Non-mix,Non-Mix,medium,0.14,290,0.152845355,4.3.4.2.1,,,,,1,,,,
ERR245813,Non-Mix,Non-mix,Mix,high,0.03,425,0.036111111,1.1.2,4,,,,0.95,0.05,,,
ERR245815,Non-Mix,Non-mix,Non-Mix,medium,0.07,279,0.0668,4.3.4.2.1,,,,,1,,,,
ERR245817,Non-Mix,Non-mix,Non-Mix,high,0.12,204,0.110747789,1.1.3.2,,,,,1,,,,
ERR245818,Non-Mix,Non-mix,Non-Mix,medium,0.13,251,0.07195122,4.3.4.2.1,,,,,1,,,,
ERR245819,Non-Mix,Non-mix,Mix,low,0.11,194,0.115687452,3.1.1,4,,,,0.97,0.03,,,
ERR245820,Non-Mix,Non-mix,Non-Mix,high,0.12,173,0.120600858,1.1.3.2,,,,,1,,,,
ERR245821,Non-Mix,Non-mix,Non-Mix,medium,0.12,218,0.103631456,4.3.4.2.1,,,,,1,,,,
ERR245822,Non-Mix,Non-mix,Non-Mix,medium,0.12,292,0.109773124,1.1.3.2,,,,,1,,,,
ERR245823,Non-Mix,Non-mix,Non-Mix,high,0.12,206,0.113988095,4.1.1.3,,,,,1,,,,
ERR245825,Non-Mix,Non-mix,Non-Mix,high,0.11,188,0.105659859,1.1.3.2,,,,,1,,,,
ERR245826,Non-Mix,Non-mix,Non-Mix,low,0.02,620,0.033693182,4.3.4.2.1,,,,,1,,,,
ERR245827,Non-Mix,Non-mix,Mix,high,0.02,976,0.031069918,3.1.1,4,,,,0.93,0.07,,,
ERR245828,Non-Mix,Non-mix,Non-Mix,low,0.03,498,0.035032175,4.1.1.3,,,,,1,,,,
ERR245829,Non-Mix,Non-mix,Mix,high,0.02,723,0.032812411,1.2.2,4,,,,0.96,0.04,,,
ERR245830,Non-Mix,Non-mix,Mix,high,0.02,1042,0.032610147,3,4,,,,0.94,0.06,,,
ERR245831,Non-Mix,Non-mix,Mix,high,0.03,585,0.036794633,2.2.1,4,,,,0.97,0.03,,,
ERR245834,Non-Mix,Non-mix,Mix,high,0.03,521,0.039377418,2.2.1,4,,,,0.97,0.03,,,
ERR245835,Non-Mix,Non-mix,Non-Mix,low,0.03,488,0.039512486,4.9.1,,,,,1,,,,
ERR245836,Non-mix,Non-mix,Mix,high,0.04,428,0.038348946,1.2.2,4,,,,0.96,0.04,,,
ERR245837,Non-mix,Non-mix,Mix,high,0.03,449,0.031993221,2.2.1,4,,,,0.97,0.03,,,
ERR245838,Non-Mix,Non-mix,Mix,medium,0.16,289,0.121333333,3.1.1,4,,,,0.94,0.06,,,
ERR245839,Non-Mix,Non-mix,Mix,high,0.02,732,0.03390625,3.1.1,4,,,,0.93,0.07,,,
ERR245840,Non-Mix,Non-mix,Mix,high,0.03,611,0.037055787,3.1.1,4,,,,0.93,0.07,,,
ERR245841,Non-Mix,Non-mix,Non-Mix,low,0.02,803,0.032669229,4.1.1.3,,,,,1,,,,
ERR245842,Non-Mix,Non-mix,Non-Mix,low,0.02,962,0.033209877,4.1.1.3,,,,,1,,,,
ERR245843,Non-Mix,Non-mix,Mix,high,0.03,480,0.037463557,1.2.2.1,4,,,,0.98,0.02,,,
ERR245844,Non-Mix,Non-mix,Non-Mix,low,0.03,387,0.030135135,1.1.3.2,,,,,1,,,,
ERR245845,Non-Mix,Non-mix,Non-Mix,low,0.02,662,0.037212121,4.9.1,,,,,1,,,,
ERR245846,Non-Mix,Non-mix,Mix,high,0.03,524,0.038891466,2.2.1,4,,,,0.97,0.03,,,
ERR245848,Non-Mix,Non-mix,Non-Mix,low,0.03,417,0.046268657,4.3.4.2.1,,,,,1,,,,
ERR245849,Non-Mix,Non-mix,Mix,high,0.02,754,0.033392178,3,4,,,,0.94,0.06,,,
ERR323042,Non-Mix,Non-mix,Non-Mix,low,0.11,375,0.081092319,4.1.1.3,,,,,1,,,,
ERR323044,Mix,Mix,Mix,high,0.22,466,0.175925926,4.3.4.2.1,4.4.1.2,,,,0.64,0.36,,,
ERR323046,Non-Mix,Non-mix,Non-Mix,low,0.06,404,0.08,1.1.2,,,,,1,,,,
ERR323051,Non-Mix,Non-mix,Non-Mix,medium,0.11,328,0.083494974,1.1.2,,,,,1,,,,
ERR323052,Non-Mix,Non-mix,Non-Mix,low,0.09,433,0.069653052,3.1.1,,,,,1,,,,
ERR323054,Mix,Mix,Mix,high,0.33,417,0.315189873,3.1.1,4.4.1.2,,,,0.32,0.68,,,
ERR323056,Mix,Non-mix,Mix,low,0.32,214,0.284482759,1.1.2,4.4.1.2,_,,,0.01,0.98,0.01,,
ERR323059,Non-Mix,Non-mix,Non-Mix,low,0.06,376,0.062197684,4.1.2,,,,,1,,,,
ERR323065,Non-Mix,Non-mix,Non-Mix,low,0.09,411,0.076547137,3.1.1,,,,,1,,,,
ERR323067,Non-Mix,Non-mix,Mix,low,0.16,154,0.109959872,4.3.4.2.1,4.4.1.2,,,,0.99,0.01,,,
ERR323069,Non-Mix,Non-mix,Non-Mix,medium,0.09,358,0.077720533,4.3.4.2.1,,,,,1,,,,
ERR323070,Non-Mix,Non-mix,Non-Mix,medium,0.1,349,0.0921875,4.3.4.1,,,,,1,,,,
ERR323071,Non-Mix,Non-mix,Non-Mix,medium,0.09,293,0.075641026,4.3.4.2.1,,,,,1,,,,
ERR323072,Non-Mix,Non-mix,Non-Mix,low,0.08,372,0.074230512,4.3.4.2.1,,,,,1,,,,
ERR323073,Non-Mix,Non-mix,Non-Mix,low,0.08,392,0.0743675,4.3.4.2.1,,,,,1,,,,
ERR323074,Non-Mix,Non-mix,Non-Mix,medium,0.07,335,0.087477995,3,,,,,1,,,,
ERR323075,Non-Mix,Non-mix,Non-Mix,medium,0.09,331,0.087192413,4.6.1.2,,,,,1,,,,
ERR323076,Non-Mix,Non-mix,Non-Mix,low,0.09,380,0.067507692,4.9.1,,,,,1,,,,
ERR323077,Non-Mix,Non-mix,Non-Mix,medium,0.07,366,0.061684211,4.1.1.3,,,,,1,,,,
ERR323078,Non-Mix,Non-mix,Non-Mix,medium,0.1,316,0.082124576,4.3.4.2.1,,,,,1,,,,
ERR323079,Non-Mix,Non-mix,Non-Mix,medium,0.06,346,0.082201922,1.1.3.2,,,,,1,,,,
ERR323080,Non-Mix,Non-mix,Non-Mix,medium,0.12,297,0.048243677,4.3.4.2.1,,,,,1,,,,
ERR323081,Non-Mix,Non-mix,Mix,high,0.04,418,0.052142857,4.3.4.2.1,_,,,,0.92,0.08,,,
ERR323082,Mix,Mix,Mix,medium,0.11,371,0.085294118,4.1.2,4.3.4.2.1,_,,,0.28,0.66,0.06,,
ERR323083,Non-Mix,Non-mix,Non-Mix,medium,0.07,371,0.081045597,4.3.4.2.1,,,,,1,,,,
ERR323084,Non-Mix,Non-mix,Non-Mix,medium,0.09,347,0.077210972,4.3.4.2.1,,,,,1,,,,
ERR323086,Non-Mix,Non-mix,Non-Mix,medium,0.08,368,0.076861341,4.3.4.1,,,,,1,,,,
ERR323087,Non-Mix,Non-mix,Non-Mix,medium,0.08,340,0.084177215,4.3.4.2.1,,,,,1,,,,
ERR323088,Non-Mix,Non-mix,Non-Mix,low,0.05,408,0.069113553,4.1.2,,,,,1,,,,
ERR323089,Non-Mix,Non-mix,Non-Mix,medium,0.11,322,0.066604275,4.3.4.2.1,,,,,1,,,,
ERR323090,Non-Mix,Non-mix,Mix,high,0.05,491,0.052712598,4.3.4.2.1,4.4.1.2,,,,0.99,0.01,,,
ERR323091,Non-Mix,Non-mix,Non-Mix,medium,0.09,298,0.096659791,4.3.4.2.1,,,,,1,,,,
ERR323092,Non-Mix,Non-mix,Non-Mix,low,0.05,421,0.071424543,1.1.3.2,,,,,1,,,,
ERR323093,Non-Mix,Non-mix,Non-Mix,low,0.06,376,0.078606811,1.1.3.2,,,,,1,,,,
ERR323094,Non-Mix,Non-mix,Non-Mix,low,0.04,406,0.059255459,4.3.4.2.1,,,,,1,,,,
ERR323095,Non-Mix,Non-mix,Non-Mix,medium,0.12,315,0.066536095,4.3.4.2.1,,,,,1,,,,
ERR323096,Non-Mix,Non-mix,Non-Mix,low,0.09,375,0.062341908,4.3.4.2.1,,,,,1,,,,
